==========================================
=== v7: Clamped gaze_alpha (max=0.1)  ===
==========================================
=== v7 TRAINING ===
python traineval.py --ek_version=egtea --epochs=30 --batch_size=32 --num_classes=106 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True --use_gaze --gaze_alpha_clamp=0.1
training dataset size: 1880
evaluation dataset size: 69
Epoch:0 (42/59) Data: 0.000823s | Batch: 0.234s | future_traj_r_loss: 0.112 | future_traj_l_loss: 0.155 | rec_r_loss: 0.117| rec_l_loss: 0.115| total_loss: 0.411 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.041 
Epoch:0 (43/59) Data: 0.000803s | Batch: 0.232s | future_traj_r_loss: 0.118 | future_traj_l_loss: 0.179 | rec_r_loss: 0.116| rec_l_loss: 0.111| total_loss: 0.374 | future_valid_r: 32.0 | future_valid_l: 9.0 | obj_loss: 0.048 
Epoch:0 (44/59) Data: 0.001900s | Batch: 0.230s | future_traj_r_loss: 0.110 | future_traj_l_loss: 0.188 | rec_r_loss: 0.114| rec_l_loss: 0.106| total_loss: 0.442 | future_valid_r: 32.0 | future_valid_l: 16.0 | obj_loss: 0.039 
Epoch:0 (45/59) Data: 0.000793s | Batch: 0.227s | future_traj_r_loss: 0.120 | future_traj_l_loss: 0.335 | rec_r_loss: 0.113| rec_l_loss: 0.104| total_loss: 0.449 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.039 
Epoch:0 (46/59) Data: 0.000758s | Batch: 0.225s | future_traj_r_loss: 0.117 | future_traj_l_loss: 0.151 | rec_r_loss: 0.110| rec_l_loss: 0.115| total_loss: 0.407 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.046 
Epoch:0 (47/59) Data: 0.000742s | Batch: 0.223s | future_traj_r_loss: 0.131 | future_traj_l_loss: 0.170 | rec_r_loss: 0.109| rec_l_loss: 0.112| total_loss: 0.365 | future_valid_r: 32.0 | future_valid_l: 7.0 | obj_loss: 0.035 
Epoch:0 (48/59) Data: 0.000810s | Batch: 0.221s | future_traj_r_loss: 0.139 | future_traj_l_loss: 0.177 | rec_r_loss: 0.110| rec_l_loss: 0.112| total_loss: 0.413 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.053 
Epoch:0 (49/59) Data: 0.000738s | Batch: 0.219s | future_traj_r_loss: 0.134 | future_traj_l_loss: 0.143 | rec_r_loss: 0.105| rec_l_loss: 0.102| total_loss: 0.413 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.060 
Epoch:0 (50/59) Data: 0.000734s | Batch: 0.217s | future_traj_r_loss: 0.081 | future_traj_l_loss: 0.204 | rec_r_loss: 0.110| rec_l_loss: 0.108| total_loss: 0.371 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.049 
Epoch:0 (51/59) Data: 0.000763s | Batch: 0.215s | future_traj_r_loss: 0.142 | future_traj_l_loss: 0.368 | rec_r_loss: 0.111| rec_l_loss: 0.104| total_loss: 0.482 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.027 
