python traineval.py --ek_version=egtea --epochs=30 --batch_size=32 --num_classes=106 --seq_len_obs=10 --seq_len_unobs=3 --learnable_weight=True --use_gaze
training dataset size: 1880
evaluation dataset size: 69
Epoch:1 (21/59) Data: 0.001033s | Batch: 0.262s | future_traj_r_loss: 0.162 | future_traj_l_loss: 0.160 | rec_r_loss: 0.090| rec_l_loss: 0.087| total_loss: 0.383 | future_valid_r: 32.0 | future_valid_l: 8.0 | obj_loss: 0.037 
Epoch:1 (22/59) Data: 0.000949s | Batch: 0.256s | future_traj_r_loss: 0.101 | future_traj_l_loss: 0.230 | rec_r_loss: 0.082| rec_l_loss: 0.081| total_loss: 0.476 | future_valid_r: 32.0 | future_valid_l: 22.0 | obj_loss: 0.024 
Epoch:1 (23/59) Data: 0.000930s | Batch: 0.250s | future_traj_r_loss: 0.143 | future_traj_l_loss: 0.289 | rec_r_loss: 0.086| rec_l_loss: 0.083| total_loss: 0.454 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.046 
Epoch:1 (24/59) Data: 0.000881s | Batch: 0.244s | future_traj_r_loss: 0.120 | future_traj_l_loss: 0.275 | rec_r_loss: 0.085| rec_l_loss: 0.083| total_loss: 0.457 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.037 
Epoch:1 (25/59) Data: 0.000958s | Batch: 0.239s | future_traj_r_loss: 0.100 | future_traj_l_loss: 0.158 | rec_r_loss: 0.088| rec_l_loss: 0.085| total_loss: 0.352 | future_valid_r: 32.0 | future_valid_l: 13.0 | obj_loss: 0.025 
Epoch:1 (26/59) Data: 0.000993s | Batch: 0.234s | future_traj_r_loss: 0.147 | future_traj_l_loss: 0.185 | rec_r_loss: 0.091| rec_l_loss: 0.087| total_loss: 0.466 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.039 
Epoch:1 (27/59) Data: 0.000964s | Batch: 0.230s | future_traj_r_loss: 0.147 | future_traj_l_loss: 0.072 | rec_r_loss: 0.088| rec_l_loss: 0.079| total_loss: 0.341 | future_valid_r: 32.0 | future_valid_l: 9.0 | obj_loss: 0.055 
Epoch:1 (28/59) Data: 0.000770s | Batch: 0.226s | future_traj_r_loss: 0.145 | future_traj_l_loss: 0.203 | rec_r_loss: 0.082| rec_l_loss: 0.081| total_loss: 0.445 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.031 
Epoch:1 (29/59) Data: 0.000730s | Batch: 0.222s | future_traj_r_loss: 0.163 | future_traj_l_loss: 0.151 | rec_r_loss: 0.085| rec_l_loss: 0.077| total_loss: 0.391 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.033 
Epoch:1 (30/59) Data: 0.000728s | Batch: 0.218s | future_traj_r_loss: 0.078 | future_traj_l_loss: 0.148 | rec_r_loss: 0.086| rec_l_loss: 0.081| total_loss: 0.320 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.021 
Epoch:1 (31/59) Data: 0.000737s | Batch: 0.215s | future_traj_r_loss: 0.106 | future_traj_l_loss: 0.275 | rec_r_loss: 0.086| rec_l_loss: 0.080| total_loss: 0.403 | future_valid_r: 32.0 | future_valid_l: 11.0 | obj_loss: 0.032 
Epoch:1 (32/59) Data: 0.000751s | Batch: 0.212s | future_traj_r_loss: 0.099 | future_traj_l_loss: 0.188 | rec_r_loss: 0.082| rec_l_loss: 0.081| total_loss: 0.407 | future_valid_r: 32.0 | future_valid_l: 19.0 | obj_loss: 0.028 
Epoch:1 (33/59) Data: 0.000709s | Batch: 0.209s | future_traj_r_loss: 0.131 | future_traj_l_loss: 0.208 | rec_r_loss: 0.081| rec_l_loss: 0.078| total_loss: 0.430 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.032 
Epoch:1 (34/59) Data: 0.000804s | Batch: 0.206s | future_traj_r_loss: 0.153 | future_traj_l_loss: 0.191 | rec_r_loss: 0.082| rec_l_loss: 0.073| total_loss: 0.340 | future_valid_r: 32.0 | future_valid_l: 5.0 | obj_loss: 0.035 
Epoch:1 (35/59) Data: 0.000890s | Batch: 0.203s | future_traj_r_loss: 0.133 | future_traj_l_loss: 0.154 | rec_r_loss: 0.084| rec_l_loss: 0.083| total_loss: 0.346 | future_valid_r: 32.0 | future_valid_l: 9.0 | obj_loss: 0.046 
Epoch:1 (36/59) Data: 0.000770s | Batch: 0.201s | future_traj_r_loss: 0.107 | future_traj_l_loss: 0.094 | rec_r_loss: 0.079| rec_l_loss: 0.079| total_loss: 0.289 | future_valid_r: 32.0 | future_valid_l: 10.0 | obj_loss: 0.034 
