True
Starting training...
python traineval.py --ek_version=ek100 --epochs=30 --batch_size=32
training dataset size: 24148
evaluation dataset size: 401
Epoch:0 (54/755) Data: 0.000746s | Batch: 0.139s | future_traj_r_loss: 0.188 | future_traj_l_loss: 0.218 | rec_r_loss: 0.168| rec_l_loss: 0.171| total_loss: 0.693 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.026 
Epoch:0 (55/755) Data: 0.000667s | Batch: 0.138s | future_traj_r_loss: 0.188 | future_traj_l_loss: 0.320 | rec_r_loss: 0.162| rec_l_loss: 0.162| total_loss: 0.723 | future_valid_r: 32.0 | future_valid_l: 19.0 | obj_loss: 0.043 
Epoch:0 (56/755) Data: 0.000726s | Batch: 0.137s | future_traj_r_loss: 0.341 | future_traj_l_loss: 0.234 | rec_r_loss: 0.181| rec_l_loss: 0.186| total_loss: 0.850 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.031 
Epoch:0 (57/755) Data: 0.000690s | Batch: 0.136s | future_traj_r_loss: 0.232 | future_traj_l_loss: 0.193 | rec_r_loss: 0.164| rec_l_loss: 0.165| total_loss: 0.713 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.044 
Epoch:0 (58/755) Data: 0.000722s | Batch: 0.136s | future_traj_r_loss: 0.192 | future_traj_l_loss: 0.311 | rec_r_loss: 0.158| rec_l_loss: 0.159| total_loss: 0.736 | future_valid_r: 32.0 | future_valid_l: 19.0 | obj_loss: 0.051 
Epoch:0 (59/755) Data: 0.000693s | Batch: 0.135s | future_traj_r_loss: 0.265 | future_traj_l_loss: 0.227 | rec_r_loss: 0.173| rec_l_loss: 0.167| total_loss: 0.796 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.036 
Epoch:0 (60/755) Data: 0.000681s | Batch: 0.134s | future_traj_r_loss: 0.216 | future_traj_l_loss: 0.357 | rec_r_loss: 0.161| rec_l_loss: 0.156| total_loss: 0.854 | future_valid_r: 32.0 | future_valid_l: 23.0 | obj_loss: 0.037 
Epoch:0 (61/755) Data: 0.000709s | Batch: 0.133s | future_traj_r_loss: 0.172 | future_traj_l_loss: 0.196 | rec_r_loss: 0.163| rec_l_loss: 0.158| total_loss: 0.700 | future_valid_r: 32.0 | future_valid_l: 26.0 | obj_loss: 0.035 
Epoch:0 (62/755) Data: 0.000687s | Batch: 0.132s | future_traj_r_loss: 0.185 | future_traj_l_loss: 0.156 | rec_r_loss: 0.170| rec_l_loss: 0.166| total_loss: 0.644 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.035 
Epoch:0 (63/755) Data: 0.000809s | Batch: 0.132s | future_traj_r_loss: 0.200 | future_traj_l_loss: 0.268 | rec_r_loss: 0.166| rec_l_loss: 0.167| total_loss: 0.729 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.042 
Epoch:0 (64/755) Data: 0.000728s | Batch: 0.131s | future_traj_r_loss: 0.223 | future_traj_l_loss: 0.243 | rec_r_loss: 0.144| rec_l_loss: 0.138| total_loss: 0.623 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.046 
Epoch:0 (65/755) Data: 0.000770s | Batch: 0.130s | future_traj_r_loss: 0.233 | future_traj_l_loss: 0.226 | rec_r_loss: 0.150| rec_l_loss: 0.146| total_loss: 0.728 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.042 
Epoch:0 (66/755) Data: 0.000694s | Batch: 0.130s | future_traj_r_loss: 0.239 | future_traj_l_loss: 0.214 | rec_r_loss: 0.145| rec_l_loss: 0.138| total_loss: 0.704 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.034 
Epoch:0 (67/755) Data: 0.000677s | Batch: 0.129s | future_traj_r_loss: 0.212 | future_traj_l_loss: 0.116 | rec_r_loss: 0.159| rec_l_loss: 0.145| total_loss: 0.591 | future_valid_r: 32.0 | future_valid_l: 19.0 | obj_loss: 0.047 
Epoch:0 (68/755) Data: 0.000678s | Batch: 0.129s | future_traj_r_loss: 0.222 | future_traj_l_loss: 0.121 | rec_r_loss: 0.164| rec_l_loss: 0.172| total_loss: 0.651 | future_valid_r: 32.0 | future_valid_l: 19.0 | obj_loss: 0.049 
Epoch:0 (69/755) Data: 0.000635s | Batch: 0.128s | future_traj_r_loss: 0.222 | future_traj_l_loss: 0.182 | rec_r_loss: 0.146| rec_l_loss: 0.148| total_loss: 0.712 | future_valid_r: 32.0 | future_valid_l: 25.0 | obj_loss: 0.035 
Epoch:0 (70/755) Data: 0.000710s | Batch: 0.127s | future_traj_r_loss: 0.250 | future_traj_l_loss: 0.260 | rec_r_loss: 0.156| rec_l_loss: 0.154| total_loss: 0.738 | future_valid_r: 32.0 | future_valid_l: 18.0 | obj_loss: 0.039 
Epoch:0 (71/755) Data: 0.000674s | Batch: 0.127s | future_traj_r_loss: 0.155 | future_traj_l_loss: 0.285 | rec_r_loss: 0.146| rec_l_loss: 0.144| total_loss: 0.650 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.038 
Epoch:0 (72/755) Data: 0.000659s | Batch: 0.126s | future_traj_r_loss: 0.194 | future_traj_l_loss: 0.252 | rec_r_loss: 0.143| rec_l_loss: 0.138| total_loss: 0.649 | future_valid_r: 32.0 | future_valid_l: 18.0 | obj_loss: 0.054 
Epoch:0 (73/755) Data: 0.000674s | Batch: 0.125s | future_traj_r_loss: 0.237 | future_traj_l_loss: 0.344 | rec_r_loss: 0.149| rec_l_loss: 0.149| total_loss: 0.737 | future_valid_r: 32.0 | future_valid_l: 17.0 | obj_loss: 0.032 
Epoch:0 (74/755) Data: 0.000694s | Batch: 0.125s | future_traj_r_loss: 0.157 | future_traj_l_loss: 0.256 | rec_r_loss: 0.145| rec_l_loss: 0.145| total_loss: 0.703 | future_valid_r: 32.0 | future_valid_l: 24.0 | obj_loss: 0.025 
Epoch:0 (75/755) Data: 0.000668s | Batch: 0.124s | future_traj_r_loss: 0.138 | future_traj_l_loss: 0.230 | rec_r_loss: 0.167| rec_l_loss: 0.149| total_loss: 0.525 | future_valid_r: 32.0 | future_valid_l: 14.0 | obj_loss: 0.026 
Epoch:0 (76/755) Data: 0.000657s | Batch: 0.124s | future_traj_r_loss: 0.233 | future_traj_l_loss: 0.276 | rec_r_loss: 0.144| rec_l_loss: 0.143| total_loss: 0.725 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.052 
Epoch:0 (77/755) Data: 0.000683s | Batch: 0.123s | future_traj_r_loss: 0.232 | future_traj_l_loss: 0.162 | rec_r_loss: 0.134| rec_l_loss: 0.133| total_loss: 0.636 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.049 
Epoch:0 (78/755) Data: 0.000679s | Batch: 0.123s | future_traj_r_loss: 0.186 | future_traj_l_loss: 0.172 | rec_r_loss: 0.142| rec_l_loss: 0.137| total_loss: 0.550 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.045 
Epoch:0 (79/755) Data: 0.000679s | Batch: 0.122s | future_traj_r_loss: 0.237 | future_traj_l_loss: 0.231 | rec_r_loss: 0.149| rec_l_loss: 0.150| total_loss: 0.743 | future_valid_r: 32.0 | future_valid_l: 21.0 | obj_loss: 0.035 
Epoch:0 (80/755) Data: 0.000794s | Batch: 0.122s | future_traj_r_loss: 0.231 | future_traj_l_loss: 0.159 | rec_r_loss: 0.145| rec_l_loss: 0.143| total_loss: 0.596 | future_valid_r: 32.0 | future_valid_l: 15.0 | obj_loss: 0.036 
Epoch:0 (81/755) Data: 0.191305s | Batch: 0.124s | future_traj_r_loss: 0.228 | future_traj_l_loss: 0.167 | rec_r_loss: 0.147| rec_l_loss: 0.147| total_loss: 0.663 | future_valid_r: 32.0 | future_valid_l: 20.0 | obj_loss: 0.055 
Epoch:0 (82/755) Data: 0.000714s | Batch: 0.123s | future_traj_r_loss: 0.209 | future_traj_l_loss: 0.246 | rec_r_loss: 0.133| rec_l_loss: 0.128| total_loss: 0.632 | future_valid_r: 32.0 | future_valid_l: 18.0 | obj_loss: 0.042 
Epoch:0 (83/755) Data: 0.000662s | Batch: 0.123s | future_traj_r_loss: 0.139 | future_traj_l_loss: 0.273 | rec_r_loss: 0.140| rec_l_loss: 0.132| total_loss: 0.595 | future_valid_r: 32.0 | future_valid_l: 18.0 | obj_loss: 0.034 
Epoch:0 (84/755) Data: 0.001265s | Batch: 0.122s | future_traj_r_loss: 0.190 | future_traj_l_loss: 0.239 | rec_r_loss: 0.146| rec_l_loss: 0.136| total_loss: 0.551 | future_valid_r: 32.0 | future_valid_l: 12.0 | obj_loss: 0.035 
Epoch:0 (85/755) Data: 0.000717s | Batch: 0.122s | future_traj_r_loss: 0.195 | future_traj_l_loss: 0.270 | rec_r_loss: 0.142| rec_l_loss: 0.132| total_loss: 0.720 | future_valid_r: 32.0 | future_valid_l: 23.0 | obj_loss: 0.025 
